Datum,Typ,Menge,Preis,BTC,USD
2025-06-12T10:43:44.006518,BUY,0.020053,9973.49,0.020053,9800.00
2025-06-12T10:43:44.060636,BUY,0.020146,9927.69,0.040199,9600.00
2025-06-12T10:43:44.113019,BUY,0.020310,9847.14,0.060509,9400.00
2025-06-12T10:43:44.164586,BUY,0.020356,9825.11,0.080865,9200.00
2025-06-12T10:43:44.217663,BUY,0.020452,9778.94,0.101317,9000.00
2025-06-12T10:43:44.270513,SELL,0.050659,9861.70,0.050659,9499.58
2025-06-12T10:43:44.322282,SELL,0.025329,9834.32,0.025329,9748.68
2025-06-12T10:43:44.373777,SELL,0.012665,9934.93,0.012665,9874.50
2025-06-12T10:43:44.425427,SELL,0.006332,9949.22,0.006332,9937.50
2025-06-12T10:43:44.479075,SELL,0.003166,9865.59,0.003166,9968.74
2025-06-12T10:43:44.530674,BUY,0.020025,9987.49,0.023191,9768.74
2025-06-12T10:43:44.583172,SELL,0.011596,10136.92,0.011596,9886.28
2025-06-12T10:43:44.635622,SELL,0.005798,10034.54,0.005798,9944.46
2025-06-12T10:43:44.737873,SELL,0.002899,10096.01,0.002899,9973.73
2025-06-12T10:43:44.800714,BUY,0.019702,10151.00,0.022601,9773.73
2025-06-12T10:43:44.853944,SELL,0.011301,10292.38,0.011301,9890.04
2025-06-12T10:43:44.905753,SELL,0.005650,10404.66,0.005650,9948.83
2025-06-12T10:43:44.957334,SELL,0.002825,10394.62,0.002825,9978.20
2025-06-12T10:43:45.009423,BUY,0.019115,10463.21,0.021940,9778.20
2025-06-12T10:43:45.060769,SELL,0.010970,10480.08,0.010970,9893.16
