Year,2023,2023
Month,1,2
Strategy,,
RSI<25,1542.33,352.9
RSI<25 + BB,1565.12,356.18
RSI<25 + BB + MACD,0.0,0.0
RSI<25 + MA200,235.54,21.34
RSI<25 + MA200 + BB,466.58,0.0
RSI<25 + MA200 + BB + MACD,0.0,0.0
RSI<25 + MA200 + MACD,0.0,0.0
RSI<25 + MACD,0.0,0.0
RSI<30,2086.28,317.7
RSI<30 + BB,1585.13,356.18
RSI<30 + BB + MACD,0.0,0.0
RSI<30 + MA200,707.94,87.28
RSI<30 + MA200 + BB,454.65,0.0
RSI<30 + MA200 + BB + MACD,0.0,0.0
RSI<30 + MA200 + MACD,0.0,0.0
RSI<30 + MACD,0.0,0.0
RSI<35,2718.9,372.48
RSI<35 + BB,1330.52,356.18
RSI<35 + BB + MACD,0.0,0.0
RSI<35 + MA200,1124.97,140.84
RSI<35 + MA200 + BB,365.34,0.0
RSI<35 + MA200 + BB + MACD,0.0,0.0
RSI<35 + MA200 + MACD,20.63,0.0
RSI<35 + MACD,7.66,45.72
